"","npar","Sum.Sq","Mean.Sq","F.value","model_order","variable"
"1",1,3672.93198944523,3672.93198944523,129.321354400606,"VPD listed after RH & temp","cloacal_temp_C"
"2",1,1671.36639306835,1671.36639306835,58.8476362405777,"VPD listed after RH & temp","day_n"
"3",1,2256.09518326528,2256.09518326528,79.4355260579211,"VPD listed after RH & temp","day_n:humidity_tmt"
"4",1,358.791511729595,358.791511729595,12.6327970073087,"VPD listed after RH & temp","day_n:temp_tmt"
"5",1,231.699274467601,231.699274467601,8.15796864028337,"VPD listed after RH & temp","day_n:VPD_kPa"
"6",1,3672.9319894284,3672.9319894284,129.321354399615,"VPD listed before RH & temp","cloacal_temp_C"
"7",1,1671.36639307618,1671.36639307618,58.8476362406721,"VPD listed before RH & temp","day_n"
"8",1,1568.49105679628,1568.49105679628,55.2254679401633,"VPD listed before RH & temp","day_n:VPD_kPa"
"9",1,787.532360104291,787.532360104291,27.7284610048175,"VPD listed before RH & temp","day_n:humidity_tmt"
"10",1,490.562552567804,490.562552567804,17.2723627604315,"VPD listed before RH & temp","day_n:temp_tmt"
